                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.2621,                 4.4273,                 2.1984,                 0.0031,                0.16456,                0.00327,                0.00106,                 2.5417,                 3.9056,                 2.2855,                 0.0982,                 0.0002,                 0.0002
                      1,                 2.9442,                 4.1307,                 2.0649,                 0.0031,                0.16456,                0.00697,                0.00259,                 2.5881,                 3.9272,                 2.2988,               0.095499,             0.00049859,             0.00049859
                      2,                 3.1916,                 4.1567,                 2.3012,                0.00286,                 0.1519,                0.00924,                0.00353,                 2.5646,                 3.9021,                 2.2956,               0.092795,             0.00079547,             0.00079547
                      3,                 3.0759,                 3.9851,                 2.1901,                0.00357,                0.18987,                0.00342,                0.00124,                 2.3781,                  3.805,                 2.1557,               0.090091,              0.0010907,              0.0010907
                      4,                 2.6989,                 3.8181,                 2.0475,                0.00524,                0.27848,                0.02045,                0.00791,                 2.2401,                 3.6906,                 1.9932,               0.087384,              0.0013842,              0.0013842
                      5,                 2.6562,                 3.8466,                 1.6879,                0.00833,                0.44304,                0.01008,                0.00341,                 2.2131,                 3.6119,                 1.8903,               0.084676,               0.001676,               0.001676
                      6,                 2.5285,                 3.7703,                 1.6355,                0.01071,                0.56962,                0.02069,                0.00683,                 2.2076,                 3.4704,                  1.728,               0.081966,              0.0019661,              0.0019661
                      7,                 2.3588,                 3.6103,                 1.5958,                0.01095,                0.58228,                0.02156,                0.00735,                 2.2193,                 3.4309,                 1.6882,               0.079254,              0.0022545,              0.0022545
                      8,                 2.3124,                 3.4857,                 1.6134,                0.01262,                0.67089,                0.05578,                0.01886,                 2.1612,                 3.3856,                 1.6505,               0.076541,              0.0025412,              0.0025412
                      9,                 2.2757,                 3.3041,                 1.4172,                0.01381,                0.73418,                0.05407,                0.01794,                 2.0669,                 3.3595,                 1.6361,               0.073826,              0.0028262,              0.0028262
                     10,                 2.3048,                 3.2178,                  1.441,                0.01571,                0.83544,                0.07411,                0.02748,                 1.9624,                 3.3005,                 1.6012,               0.071109,              0.0031095,              0.0031095
                     11,                 2.2077,                 2.6782,                 1.5658,                0.01595,                 0.8481,                0.10415,                 0.0444,                 1.9204,                 3.2039,                 1.6089,               0.068391,              0.0033911,              0.0033911
                     12,                 2.1814,                 2.3583,                 1.4984,                0.86052,                0.15639,                0.38194,                0.12431,                 1.9538,                 3.0129,                  1.706,               0.065671,               0.003671,               0.003671
                     13,                 2.2272,                 2.3467,                 1.5923,                 0.0169,                0.89873,                  0.355,                0.14192,                 1.8368,                 3.0678,                 1.6091,               0.062949,              0.0039492,              0.0039492
                     14,                 2.0972,                 2.2897,                 1.5935,                0.01667,                0.88608,                0.34052,                0.12842,                  1.761,                 3.0137,                 1.6215,               0.060226,              0.0042258,              0.0042258
                     15,                 1.9648,                 2.0785,                 1.5488,                0.01714,                0.91139,                0.33242,                0.14571,                 1.7518,                 3.0079,                 1.6214,               0.057501,              0.0045006,              0.0045006
                     16,                 2.0114,                  2.272,                 1.4465,                0.01524,                0.81013,                0.23114,                0.08107,                 1.8723,                 3.1101,                 1.7165,               0.054774,              0.0047737,              0.0047737
                     17,                 2.0456,                  2.107,                 1.4917,                0.01667,                0.88608,                0.35981,                0.13769,                 1.8694,                  3.014,                 1.5834,               0.052045,              0.0050451,              0.0050451
                     18,                 2.2108,                 2.6492,                  1.472,                0.01452,                0.77215,                0.21678,                0.09018,                 1.8164,                 3.1388,                 1.6442,               0.049315,              0.0053149,              0.0053149
                     19,                 2.1305,                 2.0852,                 1.4418,                0.01667,                0.88608,                0.48248,                0.16875,                 1.7791,                 2.9804,                 1.5429,               0.046583,              0.0055829,              0.0055829
                     20,                 2.1755,                 1.8356,                 1.4142,                0.31512,                0.64069,                0.41123,                0.12896,                 1.9817,                 2.8846,                 1.6113,               0.043849,              0.0058493,              0.0058493
                     21,                 2.0617,                 2.3119,                 1.3882,                0.01643,                0.87342,                0.40619,                 0.1387,                 1.8251,                 3.0341,                 1.6376,               0.041114,              0.0061139,              0.0061139
                     22,                 2.0689,                 1.8387,                 1.3981,                0.02631,                0.87342,                0.45719,                0.16373,                 1.8227,                 2.7914,                  1.586,               0.038377,              0.0063768,              0.0063768
                     23,                 2.0973,                  1.996,                 1.3753,                0.41758,                0.51899,                0.37371,                0.14406,                 1.7173,                 2.9383,                 1.6031,               0.035638,              0.0066381,              0.0066381
                     24,                 2.1622,                 2.1853,                   1.37,                0.53963,                0.35443,                0.37919,                0.16351,                 1.8498,                 2.8416,                 1.5596,               0.032898,              0.0068976,              0.0068976
                     25,                 1.9372,                 1.8694,                 1.2692,                0.64707,                0.16255,                0.41637,                0.16664,                 1.8837,                 2.7399,                 1.5938,               0.030156,              0.0071555,              0.0071555
                     26,                  1.924,                 1.8403,                 1.2381,                0.37466,                0.15936,                  0.158,                0.05905,                 2.0692,                 3.0712,                  1.725,               0.027412,              0.0074117,              0.0074117
                     27,                 2.0956,                 1.8559,                 1.2922,                0.56183,                0.35443,                0.44099,                0.15808,                 1.8613,                 2.5969,                 1.5744,               0.024666,              0.0076661,              0.0076661
                     28,                 1.7886,                 2.7699,                 1.3791,                0.56183,                0.35443,                0.44099,                0.15808,                 1.8613,                 2.5969,                 1.5744,               0.021919,              0.0079189,              0.0079189
                     29,                 2.0136,                 2.0379,                 1.2427,                0.53283,                0.37975,                0.42331,                0.16712,                 1.9718,                 2.4179,                 1.5249,                0.01917,              0.0081699,              0.0081699
                     30,                 1.9397,                 1.8748,                 1.2768,                0.60256,                0.47979,                0.47785,                  0.219,                 1.8693,                 2.2852,                 1.5649,               0.016419,              0.0084193,              0.0084193
                     31,                 1.9147,                 1.9556,                   1.31,                0.62576,                0.19051,                0.38355,                0.15307,                 1.9936,                 2.6293,                 1.6516,               0.013667,               0.008667,               0.008667
                     32,                 1.9742,                 1.9607,                 1.2876,                0.62576,                0.19051,                0.38355,                0.15307,                 1.9936,                 2.6293,                 1.6516,               0.010913,               0.008913,               0.008913
                     33,                 1.8748,                 1.9431,                 1.3102,                0.48836,                0.45916,                0.41199,                0.15565,                 1.9919,                 2.3823,                 1.7198,              0.0090666,              0.0090666,              0.0090666
                     34,                  2.046,                  1.984,                 1.3357,                0.51209,                0.51899,                0.41582,                0.14592,                 1.9853,                 2.3196,                 1.7984,              0.0090666,              0.0090666,              0.0090666
                     35,                 1.8717,                 1.7061,                 1.2986,                0.50999,                0.49367,                0.43368,                0.14396,                 2.0309,                 2.2058,                 1.6968,              0.0090383,              0.0090383,              0.0090383
                     36,                 2.2782,                 2.0418,                 1.4368,                0.50999,                0.49367,                0.43368,                0.14396,                 2.0309,                 2.2058,                 1.6968,                0.00901,                0.00901,                0.00901
                     37,                 2.0208,                  1.844,                 1.3432,                0.50002,                0.51903,                0.44183,                0.17803,                 1.9717,                 2.2036,                 1.6634,              0.0089817,              0.0089817,              0.0089817
                     38,                 1.9929,                 1.8142,                 1.4049,                0.57989,                0.55696,                0.48527,                0.21518,                 1.8772,                 2.0358,                 1.5665,              0.0089534,              0.0089534,              0.0089534
                     39,                 1.9589,                 1.8568,                 1.1972,                0.63456,                0.59494,                0.50924,                0.22471,                 1.8798,                 2.1604,                 1.5235,              0.0089251,              0.0089251,              0.0089251
                     40,                 1.8403,                 1.8105,                 1.3178,                0.63456,                0.59494,                0.50924,                0.22471,                 1.8798,                 2.1604,                 1.5235,              0.0088969,              0.0088969,              0.0088969
                     41,                 1.9365,                 1.7255,                 1.2161,                0.57213,                0.51899,                0.48387,                0.16915,                 2.1194,                 2.1572,                 1.6582,              0.0088686,              0.0088686,              0.0088686
                     42,                 1.8919,                  1.777,                 1.4105,                0.57265,                0.53165,                0.46758,                 0.1795,                 2.0595,                 2.1072,                 1.5968,              0.0088403,              0.0088403,              0.0088403
                     43,                 2.0699,                 1.6994,                 1.3468,                0.40979,                0.43038,                0.34307,                0.11456,                 2.2473,                 2.4273,                 1.7443,               0.008812,               0.008812,               0.008812
                     44,                 1.9362,                 1.7538,                 1.4062,                0.40979,                0.43038,                0.34307,                0.11456,                 2.2473,                 2.4273,                 1.7443,              0.0087837,              0.0087837,              0.0087837
                     45,                 2.0975,                 1.8092,                 1.3349,                0.51045,                0.54118,                0.44038,                0.18628,                 2.0118,                 2.0957,                 1.6094,              0.0087554,              0.0087554,              0.0087554
                     46,                  1.937,                  1.856,                  1.309,                 0.4554,                0.53165,                0.45472,                0.16492,                 2.1197,                 2.1453,                 1.7064,              0.0087271,              0.0087271,              0.0087271
                     47,                 1.8801,                 1.6475,                 1.2871,                0.49564,                0.53165,                 0.4376,                0.17935,                 1.9221,                  2.054,                 1.5322,              0.0086989,              0.0086989,              0.0086989
                     48,                 2.1179,                 1.7725,                 1.4079,                0.49564,                0.53165,                 0.4376,                0.17935,                 1.9221,                  2.054,                 1.5322,              0.0086706,              0.0086706,              0.0086706
                     49,                 2.0274,                 1.6287,                 1.2568,                0.47092,                0.51899,                0.45022,                0.15707,                 2.0873,                 2.2034,                 1.7321,              0.0086423,              0.0086423,              0.0086423
                     50,                 1.9734,                 1.6504,                 1.2392,                0.37262,                0.56388,                 0.3497,                0.13229,                 2.0274,                  2.188,                 1.6507,               0.008614,               0.008614,               0.008614
                     51,                 1.9188,                 1.8573,                 1.4455,                0.42701,                0.46227,                0.35306,                0.12913,                 2.0376,                 2.2049,                 1.7323,              0.0085857,              0.0085857,              0.0085857
                     52,                 1.9102,                 1.8098,                 1.4368,                0.42701,                0.46227,                0.35306,                0.12913,                 2.0376,                 2.2049,                 1.7323,              0.0085574,              0.0085574,              0.0085574
                     53,                 1.7649,                 1.6916,                 1.2151,                0.19036,                0.11392,                0.05801,                0.02173,                 2.1913,                 3.2549,                  2.056,              0.0085291,              0.0085291,              0.0085291
                     54,                 1.8975,                 1.7464,                 1.3686,                0.48276,                0.51899,                0.41345,                0.13037,                  2.178,                 3.0813,                 1.8756,              0.0085009,              0.0085009,              0.0085009
                     55,                 1.9033,                 1.6899,                 1.2595,                 0.4294,                0.32911,                0.27225,                0.07534,                 2.2749,                 3.2627,                 1.8619,              0.0084726,              0.0084726,              0.0084726
                     56,                 1.9057,                 1.6809,                  1.385,                 0.4294,                0.32911,                0.27225,                0.07534,                 2.2749,                 3.2627,                 1.8619,              0.0084443,              0.0084443,              0.0084443
                     57,                 1.9821,                 1.6681,                 1.2915,                0.45813,                0.40506,                 0.3671,                 0.1544,                 1.9607,                 3.8275,                 1.6766,               0.008416,               0.008416,               0.008416
                     58,                 1.8387,                 1.6287,                 1.2863,                0.38889,                0.60759,                0.37795,                0.12998,                 2.0168,                 3.1423,                 1.6283,              0.0083877,              0.0083877,              0.0083877
                     59,                 1.9451,                 1.5176,                 1.2642,                0.35112,                0.51899,                0.34929,                0.13569,                 2.0203,                 4.4575,                 1.6514,              0.0083594,              0.0083594,              0.0083594
                     60,                 1.9595,                 1.6689,                 1.2323,                0.35112,                0.51899,                0.34929,                0.13569,                 2.0203,                 4.4575,                 1.6514,              0.0083311,              0.0083311,              0.0083311
                     61,                 1.8705,                 1.6187,                 1.2599,                0.15698,                 0.4557,                0.18354,                0.06482,                  2.319,                 5.7572,                 1.8328,              0.0083029,              0.0083029,              0.0083029
                     62,                 2.0338,                 1.6785,                 1.3204,                0.50257,                0.48101,                0.42232,                0.16031,                 2.0718,                 2.4225,                 1.5995,              0.0082746,              0.0082746,              0.0082746
                     63,                 1.9861,                 1.7524,                 1.3359,                0.28555,                0.39241,                0.21352,                0.08044,                 1.9942,                 3.5099,                 1.7359,              0.0082463,              0.0082463,              0.0082463
                     64,                 1.9379,                 1.6879,                 1.3197,                0.28555,                0.39241,                0.21352,                0.08044,                 1.9942,                 3.5099,                 1.7359,               0.008218,               0.008218,               0.008218
                     65,                 2.0474,                 1.6259,                 1.2591,                0.46612,                0.46835,                0.36854,                0.15715,                 1.8999,                 2.6617,                 1.6394,              0.0081897,              0.0081897,              0.0081897
                     66,                 1.8437,                 1.6137,                 1.2608,                0.56847,                0.37975,                 0.3921,                0.16012,                 1.9583,                 2.2734,                 1.5937,              0.0081614,              0.0081614,              0.0081614
                     67,                 1.9193,                 1.6869,                 1.2301,                0.54264,                0.50633,                0.47447,                0.22532,                 1.8906,                 2.0561,                 1.4962,              0.0081331,              0.0081331,              0.0081331
                     68,                 1.9793,                 1.6146,                 1.2756,                0.54264,                0.50633,                0.47447,                0.22532,                 1.8906,                 2.0561,                 1.4962,              0.0081049,              0.0081049,              0.0081049
                     69,                 1.9959,                 1.7124,                 1.2478,                0.43042,                0.55482,                0.43521,                0.20164,                 1.8885,                   2.06,                 1.5582,              0.0080766,              0.0080766,              0.0080766
                     70,                 1.9503,                 1.5633,                   1.23,                0.57294,                0.49367,                0.46727,                0.19572,                 1.9861,                 2.1553,                 1.5829,              0.0080483,              0.0080483,              0.0080483
                     71,                 1.7556,                 1.4251,                 1.2784,                0.46581,                0.56962,                0.46096,                0.20394,                 1.9445,                 2.3154,                   1.52,                0.00802,                0.00802,                0.00802
                     72,                 1.9264,                  1.565,                 1.1908,                0.46581,                0.56962,                0.46096,                0.20394,                 1.9445,                 2.3154,                   1.52,              0.0079917,              0.0079917,              0.0079917
                     73,                 1.8372,                 1.5564,                 1.3144,                0.60289,                0.46835,                  0.454,                0.19662,                 1.9818,                 2.0831,                 1.5203,              0.0079634,              0.0079634,              0.0079634
                     74,                 1.9208,                  1.463,                 1.2449,                0.60931,                0.51899,                0.49056,                0.19214,                 1.9952,                 2.1677,                 1.5986,              0.0079351,              0.0079351,              0.0079351
                     75,                 1.9414,                 1.7502,                 1.2838,                0.37902,                0.41772,                0.32656,                0.16024,                 1.9135,                 2.1763,                 1.5491,              0.0079069,              0.0079069,              0.0079069
                     76,                 1.9079,                 1.6217,                 1.3026,                0.37902,                0.41772,                0.32656,                0.16024,                 1.9135,                 2.1763,                 1.5491,              0.0078786,              0.0078786,              0.0078786
                     77,                  1.776,                 1.4142,                  1.136,                0.47075,                0.54047,                0.39475,                0.15391,                 2.0449,                 2.2025,                 1.6106,              0.0078503,              0.0078503,              0.0078503
                     78,                 1.7186,                  1.497,                 1.2452,                0.61331,                0.51899,                0.46979,                0.17753,                 2.0151,                 2.3438,                  1.586,               0.007822,               0.007822,               0.007822
                     79,                 1.9001,                 1.4817,                 1.2394,                0.51694,                0.40506,                0.38853,                0.13204,                 2.2384,                 2.4482,                 1.6826,              0.0077937,              0.0077937,              0.0077937
                     80,                 1.8681,                 1.6227,                 1.2104,                0.51694,                0.40506,                0.38853,                0.13204,                 2.2384,                 2.4482,                 1.6826,              0.0077654,              0.0077654,              0.0077654
                     81,                 1.8853,                 1.4279,                 1.2036,                 0.5769,                0.39241,                0.45899,                0.18797,                 2.0386,                 2.4781,                 1.6159,              0.0077371,              0.0077371,              0.0077371
                     82,                  1.738,                 1.4168,                 1.1659,                0.51221,                0.59494,                0.46809,                0.19944,                  1.991,                 2.1357,                 1.5926,              0.0077089,              0.0077089,              0.0077089
                     83,                 1.7425,                 1.5053,                  1.197,                0.65849,                0.49367,                0.50429,                0.20281,                  2.096,                 1.9803,                 1.6545,              0.0076806,              0.0076806,              0.0076806
                     84,                 1.7854,                 1.4747,                 1.2672,                0.65849,                0.49367,                0.50429,                0.20281,                  2.096,                 1.9803,                 1.6545,              0.0076523,              0.0076523,              0.0076523
                     85,                 1.9215,                  1.632,                 1.3464,                0.53951,                0.53392,                0.42256,                 0.1815,                 2.0797,                 2.1254,                 1.6735,               0.007624,               0.007624,               0.007624
                     86,                 1.8109,                 1.5827,                   1.24,                0.53081,                 0.4557,                0.44163,                0.20498,                 1.9541,                 2.0091,                 1.5716,              0.0075957,              0.0075957,              0.0075957
                     87,                 1.7794,                 1.5765,                 1.2196,                0.51547,                0.67089,                0.53075,                0.23024,                 1.9676,                 1.8258,                 1.5461,              0.0075674,              0.0075674,              0.0075674
                     88,                 1.9894,                 1.4061,                 1.2327,                0.51547,                0.67089,                0.53075,                0.23024,                 1.9676,                 1.8258,                 1.5461,              0.0075391,              0.0075391,              0.0075391
                     89,                 1.7823,                 1.4454,                 1.2395,                0.46118,                0.59494,                0.45722,                 0.1991,                 2.0276,                 1.9208,                 1.5817,              0.0075109,              0.0075109,              0.0075109
                     90,                 1.8239,                 1.8166,                 1.2732,                0.54953,                 0.6177,                0.50927,                0.19397,                 2.1586,                 1.8947,                  1.633,              0.0074826,              0.0074826,              0.0074826
                     91,                 1.8205,                 1.6964,                 1.2894,                0.55704,                0.60491,                 0.5218,                0.23741,                 1.9691,                 1.8735,                 1.5533,              0.0074543,              0.0074543,              0.0074543
                     92,                 1.8566,                 1.4939,                 1.1242,                0.55704,                0.60491,                 0.5218,                0.23741,                 1.9691,                 1.8735,                 1.5533,               0.007426,               0.007426,               0.007426
                     93,                  1.885,                 1.4001,                 1.2099,                0.60084,                0.67089,                0.59735,                0.28097,                 1.8772,                 1.6702,                 1.4658,              0.0073977,              0.0073977,              0.0073977
                     94,                 1.7587,                 1.4144,                 1.1233,                  0.625,                0.59075,                0.56184,                 0.2513,                 2.0441,                 2.0503,                 1.5929,              0.0073694,              0.0073694,              0.0073694
                     95,                 1.8164,                 1.4083,                  1.195,                0.62957,                0.68847,                0.60957,                0.26723,                 1.9151,                 1.8417,                 1.5499,              0.0073411,              0.0073411,              0.0073411
                     96,                  1.833,                  1.338,                 1.2415,                0.62957,                0.68847,                0.60957,                0.26723,                 1.9151,                 1.8417,                 1.5499,              0.0073129,              0.0073129,              0.0073129
                     97,                 1.6006,                 1.3219,                 1.1447,                0.63465,                0.54975,                0.55193,                0.25305,                 1.9613,                 1.8097,                 1.5464,              0.0072846,              0.0072846,              0.0072846
                     98,                 1.5657,                 1.3667,                 1.1885,                0.52081,                0.60535,                0.48354,                0.20315,                 2.0767,                  1.952,                 1.6707,              0.0072563,              0.0072563,              0.0072563
                     99,                 1.8889,                 1.3449,                 1.2083,                 0.5904,                0.56962,                0.50813,                0.21431,                 2.0992,                 1.7329,                 1.6225,               0.007228,               0.007228,               0.007228
                    100,                 1.6499,                 1.3749,                 1.1387,                 0.5904,                0.56962,                0.50813,                0.21431,                 2.0992,                 1.7329,                 1.6225,              0.0071997,              0.0071997,              0.0071997
                    101,                 1.6332,                 1.2455,                 1.1472,                0.50241,                0.56239,                0.47037,                0.20106,                 2.0292,                 1.7566,                 1.5518,              0.0071714,              0.0071714,              0.0071714
                    102,                 1.6079,                 1.4945,                 1.1411,                0.43222,                0.62025,                 0.4611,                0.17978,                 1.9965,                 1.8168,                 1.4998,              0.0071431,              0.0071431,              0.0071431
                    103,                 1.5745,                 1.3924,                  1.229,                0.55289,                0.67089,                0.54285,                0.19392,                 2.1088,                 1.7996,                 1.5893,              0.0071149,              0.0071149,              0.0071149
                    104,                 1.6481,                 1.7276,                 1.1625,                0.55289,                0.67089,                0.54285,                0.19392,                 2.1088,                 1.7996,                 1.5893,              0.0070866,              0.0070866,              0.0070866
                    105,                 1.8688,                  1.374,                 1.1526,                0.49082,                0.64671,                0.48489,                0.18442,                 2.1782,                 1.7286,                 1.6269,              0.0070583,              0.0070583,              0.0070583
                    106,                 1.7686,                 1.4777,                 1.1865,                0.48225,                0.59494,                0.44914,                0.19797,                 2.0077,                 1.6598,                 1.5462,                0.00703,                0.00703,                0.00703
                    107,                 2.0477,                 1.5361,                 1.1711,                0.45255,                0.55696,                0.38417,                 0.1546,                 2.1297,                 1.8417,                 1.6321,              0.0070017,              0.0070017,              0.0070017
                    108,                 1.7161,                 1.3924,                  1.159,                0.45255,                0.55696,                0.38417,                 0.1546,                 2.1297,                 1.8417,                 1.6321,              0.0069734,              0.0069734,              0.0069734
                    109,                 1.6644,                 1.4256,                 1.1578,                0.50835,                0.67089,                0.49065,                0.19465,                 2.1357,                 1.9865,                 1.6287,              0.0069451,              0.0069451,              0.0069451
                    110,                 1.7902,                 1.3426,                 1.1744,                0.50185,                0.55696,                0.44896,                0.19055,                 2.0697,                 1.9074,                 1.6076,              0.0069169,              0.0069169,              0.0069169
                    111,                 1.6997,                 1.3386,                 1.1993,                 0.5218,                0.60759,                0.52817,                0.24042,                 1.9221,                 1.6992,                 1.4847,              0.0068886,              0.0068886,              0.0068886
                    112,                 1.8698,                  1.388,                 1.2073,                 0.5218,                0.60759,                0.52817,                0.24042,                 1.9221,                 1.6992,                 1.4847,              0.0068603,              0.0068603,              0.0068603
                    113,                 1.6953,                 1.3246,                 1.1433,                  0.486,                0.62025,                0.47566,                0.20618,                 2.0309,                 1.7015,                 1.5892,               0.006832,               0.006832,               0.006832
                    114,                 1.7453,                 1.3696,                 1.1515,                0.57434,                0.63197,                0.51026,                 0.2068,                 2.0832,                 1.6449,                 1.5804,              0.0068037,              0.0068037,              0.0068037
                    115,                 1.8442,                 1.4242,                 1.1499,                0.63475,                0.65823,                0.59395,                0.24345,                  2.074,                 1.6075,                 1.5784,              0.0067754,              0.0067754,              0.0067754
                    116,                 1.7956,                 1.2898,                 1.1249,                0.63475,                0.65823,                0.59395,                0.24345,                  2.074,                 1.6075,                 1.5784,              0.0067471,              0.0067471,              0.0067471
                    117,                 1.6356,                 1.2951,                  1.144,                0.49198,                0.62523,                 0.4884,                0.18831,                 2.1325,                 1.7787,                 1.6411,              0.0067189,              0.0067189,              0.0067189
                    118,                  1.571,                 1.3113,                  1.135,                0.59122,                0.72152,                0.58778,                0.24802,                 2.0239,                 1.5619,                 1.5313,              0.0066906,              0.0066906,              0.0066906
                    119,                 1.6453,                 1.2555,                 1.1596,                0.59008,                0.68354,                0.57069,                0.25052,                 1.9553,                 1.5868,                 1.5209,              0.0066623,              0.0066623,              0.0066623
                    120,                 1.6937,                 1.6227,                 1.1262,                0.59008,                0.68354,                0.57069,                0.25052,                 1.9553,                 1.5868,                 1.5209,               0.006634,               0.006634,               0.006634
                    121,                  1.687,                 1.3879,                 1.1265,                0.60237,                0.63291,                0.55545,                0.23736,                  2.029,                 1.6237,                 1.5589,              0.0066057,              0.0066057,              0.0066057
                    122,                  1.757,                 1.2514,                 1.1125,                0.66065,                0.59147,                 0.5614,                0.22327,                 2.1551,                 1.6456,                 1.6105,              0.0065774,              0.0065774,              0.0065774
                    123,                   1.68,                 1.2437,                 1.1731,                0.61319,                0.60759,                0.56972,                0.24238,                 2.0693,                 1.5828,                 1.5957,              0.0065491,              0.0065491,              0.0065491
                    124,                 1.7796,                 1.2489,                 1.0986,                0.61319,                0.60759,                0.56972,                0.24238,                 2.0693,                 1.5828,                 1.5957,              0.0065209,              0.0065209,              0.0065209
                    125,                 1.6715,                 1.3374,                 1.1683,                0.49915,                0.65602,                0.50239,                0.21524,                 2.1275,                 1.7532,                 1.6273,              0.0064926,              0.0064926,              0.0064926
                    126,                 1.7675,                  1.259,                 1.3154,                0.63287,                0.59494,                0.54452,                 0.2438,                 1.9836,                 1.9134,                 1.5719,              0.0064643,              0.0064643,              0.0064643
                    127,                 1.6847,                 1.1477,                 1.1406,                 0.5714,                0.55696,                0.49888,                 0.2217,                  2.106,                  1.926,                 1.6363,               0.006436,               0.006436,               0.006436
                    128,                  1.753,                 1.3055,                 1.1376,                 0.5714,                0.55696,                0.49888,                 0.2217,                  2.106,                  1.926,                 1.6363,              0.0064077,              0.0064077,              0.0064077
                    129,                 1.6932,                  1.295,                 1.2143,                0.64488,                0.56962,                0.52823,                0.23782,                 2.0257,                 1.9352,                 1.6366,              0.0063794,              0.0063794,              0.0063794
                    130,                 1.5116,                 1.2583,                 1.1998,                0.57814,                0.60759,                0.47008,                0.21591,                 2.0198,                  1.909,                 1.6091,              0.0063511,              0.0063511,              0.0063511
                    131,                 1.7304,                   1.26,                 1.1552,                0.61147,                0.59494,                0.48329,                0.21801,                 1.9914,                 1.8511,                 1.5961,              0.0063229,              0.0063229,              0.0063229
                    132,                 1.5821,                 1.1777,                 1.1926,                0.61147,                0.59494,                0.48329,                0.21801,                 1.9914,                 1.8511,                 1.5961,              0.0062946,              0.0062946,              0.0062946
                    133,                 1.6759,                  1.221,                 1.1001,                0.50666,                0.55696,                0.45586,                0.19321,                 2.0588,                 1.9729,                 1.6293,              0.0062663,              0.0062663,              0.0062663
                    134,                   1.57,                 1.2106,                 1.0872,                0.51795,                0.56962,                0.43765,                0.17037,                  2.301,                 1.8718,                 1.7683,               0.006238,               0.006238,               0.006238
                    135,                 1.5274,                 1.1721,                 1.2011,                0.56073,                0.64557,                0.49037,                0.19986,                 2.0782,                 1.8623,                 1.6422,              0.0062097,              0.0062097,              0.0062097
                    136,                 1.7729,                 1.1959,                 1.2304,                0.56073,                0.64557,                0.49037,                0.19986,                 2.0782,                 1.8623,                 1.6422,              0.0061814,              0.0061814,              0.0061814
                    137,                 1.6892,                 1.1974,                 1.1388,                0.59222,                 0.5699,                0.45819,                0.19417,                 2.0463,                 1.8485,                 1.6354,              0.0061531,              0.0061531,              0.0061531
                    138,                 1.5011,                 1.1032,                 1.1015,                0.66746,                0.58228,                0.50539,                0.20762,                 2.1192,                 1.7907,                 1.6852,              0.0061249,              0.0061249,              0.0061249
                    139,                 1.5751,                 1.1253,                 1.0659,                0.57839,                 0.6078,                 0.4632,                0.18201,                 2.1875,                  1.861,                 1.7331,              0.0060966,              0.0060966,              0.0060966
                    140,                 1.7168,                 1.1468,                 1.1921,                0.57839,                 0.6078,                 0.4632,                0.18201,                 2.1875,                  1.861,                 1.7331,              0.0060683,              0.0060683,              0.0060683
                    141,                 1.5342,                 1.0914,                 1.1494,                0.63386,                0.65823,                0.55443,                0.24801,                  1.977,                 1.7611,                 1.5795,                0.00604,                0.00604,                0.00604
                    142,                 1.7067,                 1.1717,                 1.2887,                0.71661,                0.59494,                0.54981,                0.23455,                 1.9981,                  1.727,                 1.5728,              0.0060117,              0.0060117,              0.0060117
                    143,                 1.6842,                 1.1533,                 1.1724,                0.70794,                0.64557,                0.57808,                0.26753,                 1.8834,                 1.6148,                 1.5137,              0.0059834,              0.0059834,              0.0059834
